"EMISION","CUPON","EMISOR","NOMBRE EMISOR","CUSIP_EMISOR","CUSIPEMISION","countrydomicile","vencimiento","INDUSTRIA","CODIGO INDUSTRIA","FECHA EMISION","PRECIO EMISION","YIELD","TIPO CUPON","convertible","foreign_currency","PRINCIPAL","perpetual","Campo19","Campo20","Campo21","Campo22","Campo23","Campo24","Campo25","Campo26","Campo27","Campo28","Campo29"
"433","7.5","121","ALLSTATE CORP","020002","AC5","USA","2013-06-15 00:00:00","2","23","1993-06-10 00:00:00","99.763","7.523","F","N","N","1000","N","","","","","","","","","","",""
"5933","5.8","1255","DISNEY WALT CO","25469H","BD4","USA","2008-10-27 00:00:00","1","15","1993-10-13 00:00:00","100","5.8","F","N","N","1000","N","","","","","","","","","","",""
"6059","8.25","1292","DU PONT E I DE NEMOURS & CO","263534","AW9","USA","2006-09-15 00:00:00","1","10","1991-09-13 00:00:00","99.725","8.282","F","N","N","1000","N","","","","","","","","","","",""
"10320","6.75","1664","FORD MTR CR CO","345397","GX5","USA","2008-08-15 00:00:00","2","21","1993-08-05 00:00:00","99.415","6.813","F","N","N","1000","N","","","","","","","","","","",""
"10322","6.37","1664","FORD MTR CR CO","345397","GZ0","USA","2008-11-05 00:00:00","2","21","1993-10-29 00:00:00","99.952","6.38","F","N","N","1000","N","","","","","","","","","","",""
"13189","8.3","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AG6","USA","2019-11-01 00:00:00","1","10","1989-11-01 00:00:00","99","8.467","F","N","N","1000","N","","","","","","","","","","",""
"13193","7.5","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AL5","USA","2013-06-15 00:00:00","1","10","1993-06-08 00:00:00","99.284","7.57","F","N","N","1000","N","","","","","","","","","","",""
"15774","7","37581","MORGAN STANLEY GROUP INC","617446","AS8","USA","2013-10-01 00:00:00","2","22","1993-09-29 00:00:00","99.403","7.056","F","N","N","1000","N","","","","","","","","","","",""
"21874","9.15","4108","TIME WARNER INC","887315","AK5","USA","2013-01-15 00:00:00","1","15","1993-01-08 00:00:00","100","9.125","F","N","N","1000","N","","","","","","","","","","",""
"21876","9.15","4108","TIME WARNER INC","887315","AM1","USA","2023-02-01 00:00:00","1","15","1993-01-26 00:00:00","100","9.15","F","N","N","1000","N","","","","","","","","","","",""
"23420","8.8","4447","WAL MART STORES INC","931142","AH6","USA","2011-06-29 00:00:00","1","14","1987-03-05 00:00:00","100","8.875","F","N","N","1000","N","","","","","","","","","","",""
"23429","7.25","4447","WAL MART STORES INC","931142","AS2","USA","2013-06-01 00:00:00","1","14","1993-05-25 00:00:00","99.197","7.327","F","N","N","1000","N","","","","","","","","","","",""
"23431","6.75","4447","WAL MART STORES INC","931142","AU7","USA","2023-10-15 00:00:00","1","14","1993-10-06 00:00:00","99.693","6.774","F","N","N","1000","N","","","","","","","","","","",""
"23433","8","4447","WAL MART STORES INC","931142","AW3","USA","2006-09-15 00:00:00","1","14","1994-09-20 00:00:00","99.767","8.03","F","N","N","1000","N","","","","","","","","","","",""
"31644","7","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AM3","USA","2025-10-30 00:00:00","1","10","1995-10-25 00:00:00","99.54","7.037","F","N","N","1000","N","","","","","","","","","","",""
"36159","6.1","4079","TEXAS INSTRS INC","882508","AH7","USA","2006-02-01 00:00:00","1","10","1996-01-30 00:00:00","99.3","6.22","F","N","N","1000","N","","","","","","","","","",""," "
"37678","6.6","4589","XEROX CORP","98412J","AZ7","USA","2011-03-15 00:00:00","1","10","1996-03-04 00:00:00","100","6.6","F","N","N","1000","N","","","","","","","","","",""," "
"38084","6.75","1255","DISNEY WALT CO","254687","AM8","USA","2006-03-30 00:00:00","1","15","1996-03-22 00:00:00","99.855","6.77","F","N","N","1000","N","","","","","","","","","","",""
"38143","7.2","4589","XEROX CORP","98412J","BA1","USA","2016-04-01 00:00:00","1","10","1996-03-25 00:00:00","99.684","7.23","F","N","N","1000","N","","","","","","","","","","",""
"38348","6.8","4481","WELLS FARGO & CO","949740","BZ6","USA","2006-04-01 00:00:00","2","20","1996-04-03 00:00:00","99.79","6.904","F","N","N","1000","N","","","","","","","","","","",""
"39109","7.5","1664","FORD MTR CR CO","345402","L41","USA","2011-04-25 00:00:00","2","21","1996-04-11 00:00:00","100","7.5","F","N","N","1000","N","","","","","","","","","","",""
"41984","7.1","4481","WELLS FARGO & CO","949740","CA0","USA","2006-08-15 00:00:00","2","20","1996-08-06 00:00:00","99.638","7.18","F","N","N","1000","N","","","","","","","","","","",""
"44999","6.9","701","CAMPBELL SOUP CO","134429","AJ8","USA","2006-10-15 00:00:00","1","10","1996-10-16 00:00:00","99.677","6.945","F","N","N","1000","N","","","","","","","","","","",""
